tahun,jumlah_kejadian,jenis_bencana,provinsi,rumah_rusak_berat,meninggal,mengungsi
2025,1,Banjir,Sumatera Barat,0,0,1680
2025,1,Gelombang pasang / Abrasi,Sulawesi Tengah,0,0,0
2025,1,Banjir,Nusa Tenggara Barat,0,0,0
2025,1,Banjir,Sumatera Utara,0,0,4469
2025,1,Banjir,Sumatera Utara,0,0,453
2025,1,Banjir,Sumatera Utara,0,0,880
2025,1,Banjir,Sumatera Barat,0,1,930
2025,1,Banjir,Aceh,0,0,16304
2025,1,Banjir,Sumatera Utara,0,0,0
2025,1,Banjir,Aceh,0,7,894
2025,1,Banjir,Aceh,0,0,165
2025,1,Banjir,Sumatera Barat,0,7,415
2025,1,Banjir,Sumatera Barat,0,1,1491
2025,1,Banjir,Aceh,2,1,1706
2025,1,Banjir,Aceh,0,12,30142
2025,1,Banjir,Aceh,0,0,9274
2025,1,Banjir,Aceh,0,1,2500
2025,1,Banjir,Aceh,0,0,824
2025,1,Banjir,Aceh,0,0,0
2025,1,Banjir,Aceh,0,2,2896
2025,1,Banjir,Aceh,0,4,0
2025,1,Banjir,Sumatera Utara,35,5,1712
2025,1,Longsor,Sumatera Utara,0,1,0
2025,1,Banjir,Sumatera Barat,0,0,0
2025,1,Banjir,Sumatera Utara,0,5,814
2025,1,Banjir,Sumatera Utara,2,2,0
2025,1,Banjir,Aceh,0,16,24416
2025,1,Cuaca ekstrem,Sumatera Utara,0,0,0
2025,1,Banjir,Sumatera Utara,0,11,3000
2025,1,Banjir,Sumatera Utara,0,1,0
2025,1,Kebakaran hutan dan lahan,Riau,0,0,0
2025,1,Longsor,Sumatera Utara,0,46,4456
2025,1,Banjir,Sumatera Utara,12,46,4661
2025,1,Banjir,Jawa Timur,0,0,0
2025,1,Cuaca ekstrem,Sulawesi Selatan,8,0,0
2025,1,Cuaca ekstrem,Sulawesi Selatan,0,0,0
2025,1,Longsor,Sumatera Barat,0,0,0
2025,1,Banjir,Aceh,0,0,31
2025,1,Banjir,Sumatera Barat,0,5,18208
2025,1,Banjir,Sumatera Barat,0,0,302
2025,1,Banjir,Maluku Utara,0,0,0
2025,1,Banjir,Jawa Tengah,0,0,0
2025,1,Banjir,Sumatera Utara,0,55,5500
2025,1,Banjir,Jawa Barat,0,0,0
2025,1,Cuaca ekstrem,Jawa Barat,4,0,0
2025,1,Banjir,Sumatera Barat,0,2,3405
2025,1,Banjir,Sumatera Barat,0,74,484
2025,1,Banjir,Aceh,146,11,6092
2025,1,Cuaca ekstrem,Riau,0,0,38
2025,1,Banjir,Sumatera Utara,14,0,1378
2025,1,Banjir,Sumatera Barat,11,0,3853
2025,1,Banjir,Aceh,13,0,44350
2025,1,Banjir,Aceh,3,0,2456
2025,1,Cuaca ekstrem,Sumatera Barat,0,0,0
2025,1,Banjir,Sulawesi Tenggara,0,0,0
2025,1,Cuaca ekstrem,Jawa Barat,0,0,0
2025,1,Cuaca ekstrem,Daerah Istimewa Yogyakarta,0,2,0
2025,1,Cuaca ekstrem,Jawa Timur,0,0,0
2025,1,Cuaca ekstrem,Sulawesi Selatan,3,0,0
2025,1,Banjir,Sulawesi Tengah,0,0,0
2025,1,Banjir,Banten,0,0,0
2025,1,Banjir,Jawa Barat,2,0,0
2025,1,Banjir,Lampung,0,0,0
2025,1,Erupsi gunung api,Jawa Timur,22,0,346
2025,1,Banjir,Nusa Tenggara Barat,1,1,0
2025,1,Banjir,Aceh,0,0,21095
2025,1,Cuaca ekstrem,Sulawesi Tengah,3,0,5
2025,1,Cuaca ekstrem,Jawa Barat,4,0,3
2025,1,Banjir,Jawa Timur,0,0,11
2025,1,Banjir,Sulawesi Utara,0,0,0
2025,1,Cuaca ekstrem,Jawa Barat,11,0,20
2025,1,Cuaca ekstrem,Jawa Tengah,0,0,0
2025,1,Banjir,Jawa Timur,5,0,0
2025,1,Longsor,Jawa Tengah,6,0,0
2025,1,Longsor,Jawa Tengah,54,17,1019
2025,1,Cuaca ekstrem,Sulawesi Selatan,1,0,0
2025,1,Cuaca ekstrem,Sulawesi Selatan,2,0,0
2025,1,Banjir,Kalimantan Utara,0,0,0
2025,1,Longsor,Jawa Tengah,5,0,0
2025,1,Longsor,Jawa Tengah,7,0,100
2025,1,Longsor,Jawa Barat,0,0,0
2025,1,Longsor,Jawa Tengah,32,0,73
2025,1,Longsor,Jawa Tengah,16,21,1058
2025,1,Cuaca ekstrem,Lampung,6,0,0
2025,1,Banjir,Kalimantan Selatan,0,0,0
2025,1,Kekeringan,Sumatera Utara,0,0,0
2025,1,Kebakaran hutan dan lahan,Sumatera Utara,0,0,0
2025,1,Cuaca ekstrem,Nusa Tenggara Barat,0,2,0
2025,1,Longsor,Jawa Barat,9,0,0
2025,1,Banjir,Jawa Timur,0,0,4
2025,0,Kebakaran hutan dan lahan,Riau,0,0,0
2025,1,Banjir,Kalimantan Tengah,0,0,0
2025,1,Banjir,Maluku,0,0,28
2025,1,Cuaca ekstrem,Lampung,0,0,0
2025,1,Longsor,Jawa Timur,0,1,0
2025,1,Cuaca ekstrem,Nusa Tenggara Barat,0,0,0
2025,1,Cuaca ekstrem,Maluku Utara,7,0,0
2025,1,Gelombang pasang / Abrasi,Sumatera Barat,2,0,10
2025,1,Banjir,Sulawesi Tengah,0,0,10
2025,1,Banjir,Jawa Tengah,0,0,10
2025,1,Cuaca ekstrem,Kalimantan Barat,1,0,0
2025,1,Cuaca ekstrem,Kalimantan Selatan,0,0,0
2025,1,Longsor,Jawa Tengah,0,0,0
2025,1,Cuaca ekstrem,Kalimantan Timur,2,0,0
2025,1,Banjir,Jawa Tengah,3,3,6
2025,1,Cuaca ekstrem,Jawa Tengah,4,0,0
2025,1,Banjir,Jawa Tengah,0,0,950
2025,1,Banjir,Lampung,6,0,64
2025,1,Longsor,Jawa Timur,0,0,0
2025,1,Cuaca ekstrem,Nusa Tenggara Timur,0,0,0
2025,1,Cuaca ekstrem,Maluku Utara,3,0,15
2025,1,Cuaca ekstrem,Sulawesi Utara,0,0,0
2025,1,Gelombang pasang / Abrasi,Sumatera Barat,0,0,0
2025,1,Gempabumi,Kalimantan Utara,2,0,0
2025,1,Kebakaran hutan dan lahan,Aceh,0,0,0
2025,1,Cuaca ekstrem,Jawa Timur,1,0,0
2025,1,Erupsi gunung api,Jawa Timur,0,0,0
2025,1,Cuaca ekstrem,Jawa Barat,0,0,33
2025,1,Cuaca ekstrem,Jawa Tengah,5,0,0
2025,1,Cuaca ekstrem,Sulawesi Tengah,0,1,0
2025,1,Cuaca ekstrem,Jawa Tengah,1,0,0
2025,1,Cuaca ekstrem,Sumatera Selatan,4,0,0
2025,1,Cuaca ekstrem,Jawa Barat,1,0,0
2025,0,Cuaca ekstrem,Lampung,5,0,0
2025,1,Cuaca ekstrem,Lampung,2,0,0
2025,0,Cuaca ekstrem,Lampung,12,0,0
2025,1,Cuaca ekstrem,Jawa Timur,9,0,0
2025,1,Cuaca ekstrem,Jawa Timur,2,0,0
2025,1,Longsor,Jawa Timur,1,4,0
2025,1,Banjir,Papua Pegunungan,0,8,0
2025,1,Banjir,Jawa Barat,0,0,109
2025,1,Cuaca ekstrem,Sumatera Selatan,5,0,0
2025,1,Banjir,Sulawesi Barat,0,0,0
2025,1,Banjir,Jawa Barat,0,0,1392
2025,0,Banjir,DKI Jakarta,0,0,0
2025,0,Banjir,DKI Jakarta,0,0,40
2025,1,Cuaca ekstrem,DKI Jakarta,0,1,0
2025,1,Banjir,Sulawesi Utara,2,0,0
2025,1,Longsor,Jawa Barat,1,0,4
2025,1,Longsor,Jawa Tengah,0,1,0
2025,1,Cuaca ekstrem,Sulawesi Selatan,5,0,0
2025,1,Longsor,Jawa Barat,2,0,0
2025,1,Banjir,Jawa Barat,49,0,1537
2025,1,Longsor,Jawa Barat,17,0,0
2025,1,Longsor,Jawa Barat,0,1,0
2025,1,Banjir,Sulawesi Tengah,1,0,765
2025,1,Banjir,Kalimantan Barat,0,0,0
2025,1,Cuaca ekstrem,Kepulauan Riau,1,0,0
2025,1,Banjir,Sulawesi Selatan,0,0,0
2025,1,Banjir,Jawa Barat,3,0,0
2025,1,Longsor,Jawa Barat,0,0,50
2025,1,Longsor,Jawa Tengah,4,0,0
2025,1,Banjir,Lampung,1,0,0
2025,1,Banjir,Jawa Tengah,0,4,299
2025,1,Cuaca ekstrem,Jawa Barat,5,0,7
2025,1,Cuaca ekstrem,Jawa Timur,3,0,0
